k	m	lower	upper	nodes	candidates
24	70	70368744177664	281474976710655	194	
24	71	70368744177664	281474976710655	106	
24	72	70368744177664	281474976710655	81	
24	73	70368744177664	281474976710655	0	
24	74	70368744177664	281474976710655	0	
25	68	281474976710656	1125899906842623	0	
25	69	281474976710656	1125899906842623	1978842	353387237261042
25	70	281474976710656	1125899906842623	6267876	
25	71	281474976710656	1125899906842623	2186089	1039642015534604
25	72	281474976710656	1125899906842623	2197	
25	73	281474976710656	1125899906842623	197	
25	74	281474976710656	1125899906842623	109	
25	75	281474976710656	1125899906842623	84	
25	76	281474976710656	1125899906842623	0	
25	77	281474976710656	1125899906842623	0	
26	71	1125899906842624	4503599627370495	355	
26	72	1125899906842624	4503599627370495	4511206	
26	73	1125899906842624	4503599627370495	13047255	2431494812438214
26	74	1125899906842624	4503599627370495	2902344	
26	75	1125899906842624	4503599627370495	2200	
26	76	1125899906842624	4503599627370495	200	
26	77	1125899906842624	4503599627370495	112	
26	78	1125899906842624	4503599627370495	87	
26	79	1125899906842624	4503599627370495	0	
26	80	1125899906842624	4503599627370495	0	
27	74	4503599627370496	18014398509481983	511	
27	75	4503599627370496	18014398509481983	9987978	5217766440390935
27	76	4503599627370496	18014398509481983	26811242	
27	77	4503599627370496	18014398509481983	3670623	
27	78	4503599627370496	18014398509481983	2203	
27	79	4503599627370496	18014398509481983	203	
27	80	4503599627370496	18014398509481983	115	
27	81	4503599627370496	18014398509481983	90	
27	82	4503599627370496	18014398509481983	0	
27	83	4503599627370496	18014398509481983	0	
28	77	18014398509481984	72057594037927935	1027	
28	78	18014398509481984	72057594037927935	21589690	
28	79	18014398509481984	72057594037927935	54567493	47453708818892663,57341012950430378
28	80	18014398509481984	72057594037927935	4421574	
28	81	18014398509481984	72057594037927935	2206	
28	82	18014398509481984	72057594037927935	206	
28	83	18014398509481984	72057594037927935	118	
28	84	18014398509481984	72057594037927935	93	
28	85	18014398509481984	72057594037927935	0	
28	86	18014398509481984	72057594037927935	0	
29	80	72057594037927936	288230376151711743	2275	
29	81	72057594037927936	288230376151711743	46271266	83483048989474328,109941116537584214
29	82	72057594037927936	288230376151711743	110222288	185874140559053788
29	83	72057594037927936	288230376151711743	4946621	
29	84	72057594037927936	288230376151711743	2209	
29	85	72057594037927936	288230376151711743	209	
29	86	72057594037927936	288230376151711743	121	
29	87	72057594037927936	288230376151711743	96	
29	88	72057594037927936	288230376151711743	0	
29	89	72057594037927936	288230376151711743	0	
30	83	288230376151711744	1152921504606846975	5771	
30	84	288230376151711744	1152921504606846975	97742042	456793165739112664
30	85	288230376151711744	1152921504606846975	221629755	934060406678538399
30	86	288230376151711744	1152921504606846975	5821448	
30	87	288230376151711744	1152921504606846975	2212	
30	88	288230376151711744	1152921504606846975	212	
30	89	288230376151711744	1152921504606846975	124	
30	90	288230376151711744	1152921504606846975	99	
30	91	288230376151711744	1152921504606846975	0	
30	92	288230376151711744	1152921504606846975	0	
31	86	1152921504606846976	4611686018427387903	18931	
31	87	1152921504606846976	4611686018427387903	205935898	1647070794697469576
31	88	1152921504606846976	4611686018427387903	444967559	3246620754598895144,3550579834394506419
31	89	1152921504606846976	4611686018427387903	6323283	
31	90	1152921504606846976	4611686018427387903	2215	
31	91	1152921504606846976	4611686018427387903	215	
31	92	1152921504606846976	4611686018427387903	127	
31	93	1152921504606846976	4611686018427387903	102	
31	94	1152921504606846976	4611686018427387903	0	
31	95	1152921504606846976	4611686018427387903	0	
32	89	4611686018427387904	18446744073709551615	60539	
32	90	4611686018427387904	18446744073709551615	429631710	7982155805683268862
32	91	4611686018427387904	18446744073709551615	893455086	
32	92	4611686018427387904	18446744073709551615	6767922	
32	93	4611686018427387904	18446744073709551615	2218	
32	94	4611686018427387904	18446744073709551615	218	
32	95	4611686018427387904	18446744073709551615	130	
32	96	4611686018427387904	18446744073709551615	105	
32	97	4611686018427387904	18446744073709551615	0	
32	98	4611686018427387904	18446744073709551615	0	
33	92	18446744073709551616	73786976294838206463	306283	
33	93	18446744073709551616	73786976294838206463	892150902	
33	94	18446744073709551616	73786976294838206463	1781100145	61025017088117933230,61186773691624450843,68518494384738384218
33	95	18446744073709551616	73786976294838206463	7220421	
33	96	18446744073709551616	73786976294838206463	2221	
33	97	18446744073709551616	73786976294838206463	221	
33	98	18446744073709551616	73786976294838206463	133	
33	99	18446744073709551616	73786976294838206463	108	
33	100	18446744073709551616	73786976294838206463	0	
33	101	18446744073709551616	73786976294838206463	0	
34	95	73786976294838206464	295147905179352825855	1553487	
34	96	73786976294838206464	295147905179352825855	1836094233	107716536038307203097,134809505490320383002
34	97	73786976294838206464	295147905179352825855	3530938352	
34	98	73786976294838206464	295147905179352825855	6887728	
34	99	73786976294838206464	295147905179352825855	2224	
34	100	73786976294838206464	295147905179352825855	224	
34	101	73786976294838206464	295147905179352825855	136	
34	102	73786976294838206464	295147905179352825855	111	
34	103	73786976294838206464	295147905179352825855	0	
34	104	73786976294838206464	295147905179352825855	0	
